filename, language, C#, XML, JSON, aspnetcorerazor, PowerShell, comment, blank, total
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ExternalLoginFailure.cshtml, aspnetcorerazor, 0, 0, 0, 7, 0, 0, 2, 9
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ForgotPassword.cshtml, aspnetcorerazor, 0, 0, 0, 25, 0, 3, 4, 32
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ForgotPasswordConfirmation.cshtml, aspnetcorerazor, 0, 0, 0, 7, 0, 0, 2, 9
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ForgotPasswordViewModel.cs, C#, 14, 0, 0, 0, 0, 0, 2, 16
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\Lockout.cshtml, aspnetcorerazor, 0, 0, 0, 7, 0, 0, 2, 9
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\Login.cshtml, aspnetcorerazor, 0, 0, 0, 108, 0, 0, 10, 118
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\LoginViewModel.cs, C#, 19, 0, 0, 0, 0, 0, 4, 23
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\Over18Requirement.cs, C#, 8, 0, 0, 0, 0, 45, 3, 56
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\Register.cshtml, aspnetcorerazor, 0, 0, 0, 58, 0, 0, 10, 68
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\RegisterEmail.cshtml, aspnetcorerazor, 0, 0, 0, 16, 0, 0, 2, 18
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\RegisterViewModel.cs, C#, 24, 0, 0, 0, 0, 0, 4, 28
c:\GOVMEETING\_SOURCECODE\BackEnd\WebApp\Features\Account\ResetPassword.cshtml, aspnetcorerazor, 0, 0, 0, 40, 0, 0, 4, 44
